epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.4789770245552063,0.319119930267334,0.5210229754447937,1e-05,0.5415986180305481,0.710864245891571,0.321559876203537,0.1927851438522339,0.6725586652755737,0.0008813611348159611,8.021725807338953e-05
1,0.6767472624778748,0.5165938138961792,0.32325273752212524,1e-05,0.728861391544342,0.9094110131263733,0.31874600052833557,0.1907729208469391,0.6768599152565002,0.013396152295172215,0.006330188363790512
2,0.79087895154953,0.6576370596885681,0.20912113785743713,1e-05,0.9010093212127686,0.9548421502113342,0.32636842131614685,0.19551150500774384,0.6689493656158447,0.09588417410850525,0.0825214758515358
3,0.8372935056686401,0.7236323952674866,0.16270649433135986,1e-05,0.9343518018722534,0.9655565023422241,0.3349749743938446,0.20293354988098145,0.6570295095443726,0.20008574426174164,0.171454519033432
4,0.865912914276123,0.7651880979537964,0.13408701121807098,1e-05,0.9465280771255493,0.9700284004211426,0.317678302526474,0.1899847686290741,0.6852892637252808,0.200748473405838,0.05805986002087593
5,0.8824841380119324,0.791567325592041,0.1175159215927124,1e-05,0.955486536026001,0.9692491292953491,0.25059637427330017,0.14370767772197723,0.7472554445266724,0.009301040321588516,0.00011741946946131065
6,0.8956649899482727,0.8122492432594299,0.10433507710695267,1e-05,0.9625346660614014,0.9714410305023193,0.16943705081939697,0.09264583140611649,0.8306161165237427,0.003567181993275881,3.48770709024393e-06
7,0.9031217694282532,0.8250188231468201,0.09687823057174683,1e-05,0.9609602689743042,0.9745782613754272,0.11406402289867401,0.06049076095223427,0.885854959487915,0.4057970941066742,0.00026041545788757503
8,0.9155844449996948,0.8449569940567017,0.08441563695669174,1e-05,0.9705459475517273,0.9762904644012451,0.13579292595386505,0.07359714061021805,0.8611399531364441,0.9977253675460815,0.028046976774930954
9,0.9162734746932983,0.8466258645057678,0.08372652530670166,1e-06,0.9736093878746033,0.9773547649383545,0.38003963232040405,0.24749910831451416,0.6391762495040894,0.9856438636779785,0.2157483994960785
